id,word,pre,vowel,fol
890,hid,h,i,d
891,hɪz,h,ɪ,z
892,zæz,z,æ,z
893,heɪd,h,eɪ,d
894,snɛdz,sn,ɛ,dz
895,nɔɪz,n,ɔɪ,z
896,taɪdz,t,aɪ,dz
897,dɔz,d,ɔ,z
898,tadz,t,a,dz
899,snaɪd,sn,aɪ,d
900,sidz,s,i,dz
901, ad, ,a,d
902,snɔdz,sn,ɔ,dz
903,dud,d,u,d
904,sniz,sn,i,z
905,nʊd,n,ʊ,d
906,hɛz,h,ɛ,z
907,sneɪd,sn,eɪ,d
908, ɔd, ,ɔ,d
909,sʊdz,s,ʊ,dz
910,hiz,h,i,z
911,dɛd,d,ɛ,d
912,duz,d,u,z
913,teɪz,t,eɪ,z
914, æz, ,æ,z
915,snɪdz,sn,ɪ,dz
916, oʊd, ,oʊ,d
917,zoʊd,z,oʊ,d
918,zaɪd,z,aɪ,d
919,snʊdz,sn,ʊ,dz
920,noʊz,n,oʊ,z
921,seɪz,s,eɪ,z
922, ʊd, ,ʊ,d
923,zadz,z,a,dz
924,saz,s,a,z
925,zaʊdz,z,aʊ,dz
926,seɪdz,s,eɪ,dz
927,daʊz,d,aʊ,z
928,soʊz,s,oʊ,z
929,stid,st,i,d
930,zʊd,z,ʊ,d
931,nɛdz,n,ɛ,dz
932, aʊz, ,aʊ,z
933,snæz,sn,æ,z
934,nɔz,n,ɔ,z
935,stʊdz,st,ʊ,dz
936,stad,st,a,d
937,hid,h,i,d
938,doʊz,d,oʊ,z
939,snɔɪdz,sn,ɔɪ,dz
940,nad,n,a,d
941,snɔz,sn,ɔ,z
942,dɔdz,d,ɔ,dz
943,seɪd,s,eɪ,d
944,nuz,n,u,z
945, ʊd, ,ʊ,d
946, aɪz, ,aɪ,z
947,zid,z,i,d
948,zɪz,z,ɪ,z
949,snidz,sn,i,dz
950,zɪdz,z,ɪ,dz
951, ɔd, ,ɔ,d
952,tudz,t,u,dz
953,stɔɪd,st,ɔɪ,d
954,haʊdz,h,aʊ,dz
955,stud,st,u,d
956,hidz,h,i,dz
957,snaʊz,sn,aʊ,z
958,tɔɪd,t,ɔɪ,d
959,zeɪz,z,eɪ,z
960,hæd,h,æ,d
961, ɔɪd, ,ɔɪ,d
962,nɔɪz,n,ɔɪ,z
963,nʊz,n,ʊ,z
964,zɔz,z,ɔ,z
965,zeɪd,z,eɪ,d
966,snɪz,sn,ɪ,z
967,stɪdz,st,ɪ,dz
968,soʊdz,s,oʊ,dz
969,stɔɪdz,st,ɔɪ,dz
970,tidz,t,i,dz
971,nʊd,n,ʊ,d
972,zɔdz,z,ɔ,dz
973,snɪdz,sn,ɪ,dz
974,steɪdz,st,eɪ,dz
975,seɪd,s,eɪ,d
976,steɪdz,st,eɪ,dz
977,stʊd,st,ʊ,d
978,snædz,sn,æ,dz
979, ɔɪd, ,ɔɪ,d
980,heɪz,h,eɪ,z
981,hɔɪdz,h,ɔɪ,dz
982,nɔd,n,ɔ,d
983,doʊdz,d,oʊ,dz
984, aɪd, ,aɪ,d
985, id, ,i,d
986, ɪdz, ,ɪ,dz
987,snad,sn,a,d
988,snoʊz,sn,oʊ,z
989,taɪd,t,aɪ,d
990,sʊdz,s,ʊ,dz
991, id, ,i,d
992,snɔz,sn,ɔ,z
993,nɛz,n,ɛ,z
994, ɪz, ,ɪ,z
995, aʊd, ,aʊ,d
996, aɪz, ,aɪ,z
997,hɔɪz,h,ɔɪ,z
998,heɪdz,h,eɪ,dz
999,daʊz,d,aʊ,z
1000,daɪdz,d,aɪ,dz
1001,saʊz,s,aʊ,z
1002, ad, ,a,d
1003,noʊdz,n,oʊ,dz
1004,ziz,z,i,z
1005,dʊz,d,ʊ,z
1006,deɪz,d,eɪ,z
1007, ɔz, ,ɔ,z
1008,saʊz,s,aʊ,z
1009,zɔɪd,z,ɔɪ,d
1010,stʊd,st,ʊ,d
1011,sɔd,s,ɔ,d
1012,zaɪz,z,aɪ,z
1013,toʊz,t,oʊ,z
1014,zidz,z,i,dz
1015,sæd,s,æ,d
1016,taʊd,t,aʊ,d
1017,dædz,d,æ,dz
1018,staɪdz,st,aɪ,dz
1019,zudz,z,u,dz
1020,dæz,d,æ,z
1021, aʊdz, ,aʊ,dz
1022,hɔɪdz,h,ɔɪ,dz
1023,zaʊz,z,aʊ,z
1024,daʊd,d,aʊ,d
1025,staz,st,a,z
1026,seɪdz,s,eɪ,dz
1027,deɪdz,d,eɪ,dz
1028,sɔɪd,s,ɔɪ,d
1029,hɛd,h,ɛ,d
1030,stɛz,st,ɛ,z
1031,zid,z,i,d
1032,nɔdz,n,ɔ,dz
1033,naʊz,n,aʊ,z
1034,zeɪz,z,eɪ,z
1035, aɪdz, ,aɪ,dz
1036,staʊd,st,aʊ,d
1037,dadz,d,a,dz
1038,staʊdz,st,aʊ,dz
1039,hɛdz,h,ɛ,dz
1040, ɔz, ,ɔ,z
1041,snoʊdz,sn,oʊ,dz
1042,ziz,z,i,z
1043,snɪd,sn,ɪ,d
1044,naʊd,n,aʊ,d
1045,stɛdz,st,ɛ,dz
1046,hɔd,h,ɔ,d
1047,stɔz,st,ɔ,z
1048,hʊdz,h,ʊ,dz
1049, ʊz, ,ʊ,z
1050,snudz,sn,u,dz
1051,snoʊd,sn,oʊ,d
1052,hʊd,h,ʊ,d
1053,stadz,st,a,dz
